,cursor,name_with_owner,name,url,stargazer_count,pr_count
0,Y3Vyc29yOjE=,freeCodeCamp/freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,322516,25897
0,Y3Vyc29yOjI=,996icu/996.ICU,996.ICU,https://github.com/996icu/996.ICU,256288,1817
0,Y3Vyc29yOjM=,EbookFoundation/free-programming-books,free-programming-books,https://github.com/EbookFoundation/free-programming-books,182113,4675
0,Y3Vyc29yOjQ=,vuejs/vue,vue,https://github.com/vuejs/vue,181517,1782
0,Y3Vyc29yOjU=,facebook/react,react,https://github.com/facebook/react,166504,10565
0,Y3Vyc29yOjY=,jwasham/coding-interview-university,coding-interview-university,https://github.com/jwasham/coding-interview-university,161248,532
0,Y3Vyc29yOjc=,sindresorhus/awesome,awesome,https://github.com/sindresorhus/awesome,157210,1615
0,Y3Vyc29yOjg=,tensorflow/tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,154626,16835
0,Y3Vyc29yOjk=,kamranahmedse/developer-roadmap,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,153486,181
0,Y3Vyc29yOjEw,twbs/bootstrap,bootstrap,https://github.com/twbs/bootstrap,149187,12232
0,Y3Vyc29yOjEx,getify/You-Dont-Know-JS,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,135696,790
0,Y3Vyc29yOjEy,ohmyzsh/ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,125951,5444
0,Y3Vyc29yOjEz,donnemartin/system-design-primer,system-design-primer,https://github.com/donnemartin/system-design-primer,125703,248
0,Y3Vyc29yOjE0,CyC2018/CS-Notes,CS-Notes,https://github.com/CyC2018/CS-Notes,125300,520
0,Y3Vyc29yOjE1,flutter/flutter,flutter,https://github.com/flutter/flutter,117495,26800
0,Y3Vyc29yOjE2,public-apis/public-apis,public-apis,https://github.com/public-apis/public-apis,116324,1265
0,Y3Vyc29yOjE3,github/gitignore,gitignore,https://github.com/github/gitignore,116079,3324
0,Y3Vyc29yOjE4,microsoft/vscode,vscode,https://github.com/microsoft/vscode,114096,8902
0,Y3Vyc29yOjE5,torvalds/linux,linux,https://github.com/torvalds/linux,108537,440
0,Y3Vyc29yOjIw,airbnb/javascript,javascript,https://github.com/airbnb/javascript,107303,1239
0,Y3Vyc29yOjIx,trekhleb/javascript-algorithms,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,102684,320
0,Y3Vyc29yOjIy,danistefanovic/build-your-own-x,build-your-own-x,https://github.com/danistefanovic/build-your-own-x,102165,125
0,Y3Vyc29yOjIz,TheAlgorithms/Python,Python,https://github.com/TheAlgorithms/Python,101888,3590
0,Y3Vyc29yOjI1,Snailclimb/JavaGuide,JavaGuide,https://github.com/Snailclimb/JavaGuide,101270,582
0,Y3Vyc29yOjI2,d3/d3,d3,https://github.com/d3/d3,96372,1102
0,Y3Vyc29yOjI3,vinta/awesome-python,awesome-python,https://github.com/vinta/awesome-python,95612,1380
0,Y3Vyc29yOjI4,facebook/react-native,react-native,https://github.com/facebook/react-native,94585,9594
0,Y3Vyc29yOjI5,ytdl-org/youtube-dl,youtube-dl,https://github.com/ytdl-org/youtube-dl,92663,3589
0,Y3Vyc29yOjMw,electron/electron,electron,https://github.com/electron/electron,91130,13171
0,Y3Vyc29yOjMx,labuladong/fucking-algorithm,fucking-algorithm,https://github.com/labuladong/fucking-algorithm,87309,375
0,Y3Vyc29yOjMy,facebook/create-react-app,create-react-app,https://github.com/facebook/create-react-app,87060,3362
0,Y3Vyc29yOjMz,jlevy/the-art-of-command-line,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,85146,424
0,Y3Vyc29yOjM0,golang/go,go,https://github.com/golang/go,84175,1332
0,Y3Vyc29yOjM1,axios/axios,axios,https://github.com/axios/axios,83215,720
0,Y3Vyc29yOjM2,ossu/computer-science,computer-science,https://github.com/ossu/computer-science,80978,303
0,Y3Vyc29yOjM3,justjavac/free-programming-books-zh_CN,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,78286,401
0,Y3Vyc29yOjM4,nodejs/node,node,https://github.com/nodejs/node,78157,23956
0,Y3Vyc29yOjM5,kubernetes/kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,75935,61675
0,Y3Vyc29yOjQw,denoland/deno,deno,https://github.com/denoland/deno,74152,5702
0,Y3Vyc29yOjQx,microsoft/terminal,terminal,https://github.com/microsoft/terminal,73027,2087
0,Y3Vyc29yOjQy,angular/angular,angular,https://github.com/angular/angular,72239,18171
0,Y3Vyc29yOjQz,30-seconds/30-seconds-of-code,30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,70434,1386
0,Y3Vyc29yOjQ0,microsoft/TypeScript,TypeScript,https://github.com/microsoft/TypeScript,69895,12734
0,Y3Vyc29yOjQ1,puppeteer/puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,69680,2259
0,Y3Vyc29yOjQ2,animate-css/animate.css,animate.css,https://github.com/animate-css/animate.css,69668,477
0,Y3Vyc29yOjQ3,mrdoob/three.js,three.js,https://github.com/mrdoob/three.js,69459,11024
0,Y3Vyc29yOjQ4,tensorflow/models,models,https://github.com/tensorflow/models,69362,3276
0,Y3Vyc29yOjQ5,mui-org/material-ui,material-ui,https://github.com/mui-org/material-ui,67338,12649
0,Y3Vyc29yOjUw,PanJiaChen/vue-element-admin,vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,66346,454
